All calculations,Bus 16
"b:tnow in s","m:fehz in Hz"
13.251666,59.422445
13.261666,59.422383
13.271666,59.422322
13.281666,59.422261
13.291666,59.422201
13.301666,59.422141
13.311666,59.422082
13.321666,59.422023
13.331666,59.421964
13.341666,59.421906
13.351666,59.421848
13.361666,59.421790
13.371666,59.421733
13.381666,59.421676
13.391666,59.421619
13.401666,59.421563
13.411666,59.421507
13.421666,59.421451
13.431666,59.421396
13.441666,59.421340
13.451666,59.421285
13.461666,59.421231
13.471666,59.421176
13.481666,59.421122
13.491666,59.421067
13.501666,59.421013
13.511666,59.420960
13.521666,59.420906
13.531666,59.420852
13.541666,59.420799
13.551666,59.420746
13.561666,59.420693
13.571666,59.420640
13.581666,59.420587
13.591666,59.420534
13.601666,59.420481
13.611666,59.420429
13.621666,59.420376
13.631666,59.420324
13.641666,59.420271
13.651666,59.420219
13.661666,59.420167
13.671666,59.420114
13.681666,59.420062
13.691666,59.420010
13.701666,59.419957
13.711666,59.419905
